Volatility 3 Framework 2.26.1

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	recovery	
1	0	systemd	TERM	linux
1	0	systemd	drop_caps	
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-4.4.0-1061-aws
1	0	systemd	PATH	/sbin:/usr/sbin:/bin:/usr/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
413	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
413	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
413	1	systemd-journal	LISTEN_PID	413
413	1	systemd-journal	LISTEN_FDS	4
413	1	systemd-journal	LISTEN_FDNAMES	systemd-journald.socket:systemd-journald.socket:systemd-journald-audit.socket:systemd-journald-dev-log.socket
413	1	systemd-journal	WATCHDOG_PID	413
413	1	systemd-journal	WATCHDOG_USEC	180000000
442	1	lvmetad	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
442	1	lvmetad	LISTEN_PID	442
442	1	lvmetad	LISTEN_FDS	1
442	1	lvmetad	LISTEN_FDNAMES	lvm2-lvmetad.socket
442	1	lvmetad	SD_ACTIVATION	1
471	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
471	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
471	1	systemd-udevd	LISTEN_PID	471
471	1	systemd-udevd	LISTEN_FDS	2
471	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-kernel.socket:systemd-udevd-control.socket
471	1	systemd-udevd	WATCHDOG_PID	471
471	1	systemd-udevd	WATCHDOG_USEC	180000000
560	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
560	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
560	1	systemd-timesyn	WATCHDOG_PID	560
560	1	systemd-timesyn	WATCHDOG_USEC	180000000
991	1	dhclient	METHOD	dhcp
991	1	dhclient	MODE	start
991	1	dhclient	LOGICAL	eth0
991	1	dhclient	PHASE	post-up
991	1	dhclient	ADDRFAM	inet
991	1	dhclient	VERBOSITY	0
991	1	dhclient	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
991	1	dhclient	IFUPDOWN_eth0	post-up
991	1	dhclient	IFACE	eth0
991	1	dhclient	PWD	/
1140	1	iscsid	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1141	1	iscsid	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1148	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1148	1	dbus-daemon	LISTEN_PID	1148
1148	1	dbus-daemon	LISTEN_FDS	1
1148	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
1166	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1166	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
1166	1	systemd-logind	WATCHDOG_PID	1166
1166	1	systemd-logind	WATCHDOG_USEC	180000000
1168	1	rsyslogd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1168	1	rsyslogd	NOTIFY_SOCKET	/run/systemd/notify
1168	1	rsyslogd	LISTEN_PID	1168
1168	1	rsyslogd	LISTEN_FDS	1
1168	1	rsyslogd	LISTEN_FDNAMES	syslog.socket
1172	1	lxcfs	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1177	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1182	1	accounts-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1183	1	atd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1197	1	acpid	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1251	1	mdadm	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1251	1	mdadm	_SYSTEMCTL_SKIP_REDIRECT	true
1251	1	mdadm	PWD	/
1310	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1310	1	agetty	TERM	vt220
1311	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1311	1	agetty	TERM	linux
1311	1	agetty	LANG	
1311	1	agetty	LANGUAGE	
1311	1	agetty	LC_CTYPE	
1311	1	agetty	LC_NUMERIC	
1311	1	agetty	LC_TIME	
1311	1	agetty	LC_COLLATE	
1311	1	agetty	LC_MONETARY	
1311	1	agetty	LC_MESSAGES	
1311	1	agetty	LC_PAPER	
1311	1	agetty	LC_NAME	
1311	1	agetty	LC_ADDRESS	
1311	1	agetty	LC_TELEPHONE	
1311	1	agetty	LC_MEASUREMENT	
1311	1	agetty	LC_IDENTIFICATION	
1340	1	sshd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1340	1	sshd	NOTIFY_SOCKET	/run/systemd/notify
1340	1	sshd	SSHD_OPTS	
1817	1	amazon-ssm-agen	SNAP_COMMON	/var/snap/amazon-ssm-agent/common
1817	1	amazon-ssm-agen	SNAP_LIBRARY_PATH	/var/lib/snapd/lib/gl:/var/lib/snapd/lib/gl32:/var/lib/snapd/void
1817	1	amazon-ssm-agen	SNAP_USER_DATA	/root/snap/amazon-ssm-agent/295
1817	1	amazon-ssm-agen	SNAP_REVISION	295
1817	1	amazon-ssm-agen	SNAP_CONTEXT	w1JyDJRW07YyFBwKNr8PK26Xf5R3G5x6qRPqB8P8Jm78
1817	1	amazon-ssm-agen	SNAP_VERSION	2.2.619.0
1817	1	amazon-ssm-agen	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1817	1	amazon-ssm-agen	SNAP_DATA	/var/snap/amazon-ssm-agent/295
1817	1	amazon-ssm-agen	XDG_RUNTIME_DIR	/run/user/0/snap.amazon-ssm-agent
1817	1	amazon-ssm-agen	SNAP_USER_COMMON	/root/snap/amazon-ssm-agent/common
1817	1	amazon-ssm-agen	SNAP_ARCH	amd64
1817	1	amazon-ssm-agen	SNAP_COOKIE	w1JyDJRW07YyFBwKNr8PK26Xf5R3G5x6qRPqB8P8Jm78
1817	1	amazon-ssm-agen	SNAP_REEXEC	
1817	1	amazon-ssm-agen	SNAP_NAME	amazon-ssm-agent
1817	1	amazon-ssm-agen	PWD	/var/snap/amazon-ssm-agent/295
1817	1	amazon-ssm-agen	SNAP	/snap/amazon-ssm-agent/295
16956	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
27428	1	apache2	APACHE_RUN_DIR	/var/run/apache2
27428	1	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
27428	1	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
27428	1	apache2	APACHE_LOCK_DIR	/var/lock/apache2
27428	1	apache2	LANG	C
27428	1	apache2	APACHE_RUN_USER	www-data
27428	1	apache2	APACHE_RUN_GROUP	www-data
27428	1	apache2	APACHE_LOG_DIR	/var/log/apache2
27428	1	apache2	PWD	/
28115	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
28115	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
28115	1	snapd	LISTEN_PID	28115
28115	1	snapd	LISTEN_FDS	2
28115	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
5573	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
5573	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
5573	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
5573	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
5573	27428	apache2	LANG	C
5573	27428	apache2	APACHE_RUN_USER	www-data
5573	27428	apache2	APACHE_RUN_GROUP	www-data
5573	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
5573	27428	apache2	PWD	/
5763	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
5763	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
5763	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
5763	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
5763	27428	apache2	LANG	C
5763	27428	apache2	APACHE_RUN_USER	www-data
5763	27428	apache2	APACHE_RUN_GROUP	www-data
5763	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
5763	27428	apache2	PWD	/
6196	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6196	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6196	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6196	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6196	27428	apache2	LANG	C
6196	27428	apache2	APACHE_RUN_USER	www-data
6196	27428	apache2	APACHE_RUN_GROUP	www-data
6196	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6196	27428	apache2	PWD	/
6262	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6262	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6262	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6262	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6262	27428	apache2	LANG	C
6262	27428	apache2	APACHE_RUN_USER	www-data
6262	27428	apache2	APACHE_RUN_GROUP	www-data
6262	27428	apache2	APACHE_LOG_DIR	/var/log/apache2
6262	27428	apache2	PWD	/
6266	27428	apache2	APACHE_RUN_DIR	/var/run/apache2
6266	27428	apache2	APACHE_PID_FILE	/var/run/apache2/apache2.pid
6266	27428	apache2	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
6266	27428	apache2	APACHE_LOCK_DIR	/var/lock/apache2
6266	27428	apache2	LANG	C
6266	27428	apache2	APACHE_RUN_USER	www-data
